id	w	p	l	c1	c2	pred
0	carry	V	F	You must carry your camping gear .	Sound carries well over water .	F
1	go	V	F	Messages must go through diplomatic channels .	Do you think the sofa will go through the door ?	F
2	break	V	F	Break an alibi .	The wholesaler broke the container loads into palettes and boxes for local retailers .	F
3	cup	N	T	He wore a jock strap with a metal cup .	Bees filled the waxen cups with honey .	F
4	academy	N	F	The Academy of Music .	The French Academy .	F
5	set	V	F	Set the table .	To set glass in a sash .	F
6	starch	V	T	Starch clothes .	She starched her blouses .	T
7	take	V	F	Do you take sugar in your coffee ?	A reading was taken of the earth 's tremors .	F
8	avoid	V	T	I try to avoid the company of gamblers .	We avoided the ball .	F
9	clearance	N	T	He got clearance to travel to America , even though he had previous links to terrorists .	The plane got clearance from air traffic control , and we were off .	T
10	come	V	T	Come out of the closet !	He came singing down the road .	T
11	coverage	N	T	Before laying sod on that clay , the ground needs two inches of coverage with topsoil .	The dictionary 's coverage of standard English is excellent .	F
12	death	N	F	Her death came as a terrible shock .	He had two deaths on his conscience .	F
13	despite	N	F	The despite in which outsiders were held is legendary .	She wanted neither favor nor despite .	F
14	school	N	T	A school of small glittering fish swam by .	The divers encountered a huge school of mackerel .	T
15	go	V	T	We should go farther in this matter .	She went through a lot of trouble .	F
16	action	N	T	The United Nations must have the power to propose and organize action without being hobbled by irrelevant issues .	Recent federal action undermined the segregationist position .	T
17	fall	V	F	Fall by the wayside .	The cities fell to the enemy .	F
18	work	V	F	This dough does not work easily .	Work the phones .	F
19	shock	N	F	The armies met in the shock of battle .	The train hit the buffers with a great shock .	T
20	play	V	F	This speech did n't play well with the American public .	Play football .	F
21	make	V	F	What do you make of his remarks ?	Make a dress .	F
22	end	N	F	The so-called glorious experiment came to an inglorious end .	The end was exciting .	F
23	break	N	F	There was a break in the action when a player was hurt .	He was up two breaks in the second set .	F
24	life	N	F	It was a heavy play and the actors tried in vain to give life to it .	The life of this milk carton may be thousands of years in this landfill .	F
25	person	N	T	There was too much for one person to do .	Each person is unique , both mentally and physically .	T
26	answer	V	T	Answer the door .	She answered the door .	T
27	do	V	F	All you ever do is surf the Internet .	A ' B ' grade does n't suffice to get me into medical school .	F
28	play	V	F	Play fair .	Play football .	F
29	see	V	F	What message do you see in this letter ?	We had to see a psychiatrist .	F
30	buff	N	T	To strip to the buff .	Swimming in the buff .	T
31	boy	N	T	She made the boy brush his teeth every night .	Most soldiers are only boys in uniform .	F
32	picture	N	T	She was the picture of despair .	The very picture of a modern general .	F
33	answer	V	F	She did n't want to answer .	This may answer her needs .	F
34	head	N	F	Tickets are $ 5 per head .	He is two heads taller than his little sister .	F
35	break	V	F	Break into tears .	If the vase falls to the floor , it might break .	F
36	die	V	T	To die to pleasure or to sin .	She died from cancer .	F
37	peak	N	T	The stock market reached a peak in September 1929 .	Voltage peak .	F
38	civilization	N	T	A hermit does n't much care for civilization .	Early Mayan civilization .	F
39	carry	V	F	These bonds carry warrants .	She carries her ideas to the extreme .	F
40	shot	N	F	He wanted a shot at the champion .	I caught him with a solid shot to the chin .	T
41	body	N	F	The body of the car was badly rusted .	Penny was in the scullery , pressing the body of her new dress .	F
42	cut	V	T	Cut a ticket .	Cut orders .	F
43	recognition	N	F	She seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own .	Give her recognition for trying .	F
44	shift	V	F	You have to shift when you go down a steep hill .	He shifted in his seat .	T
45	cube	N	T	A stock cube .	A sugar cube .	T
46	follow	V	F	Let 's follow our great helmsman !	He followed his lecture with a question and answer period .	F
47	apply	V	T	I apply this rule to get good results .	Apply a magnetic field here .	F
48	fall	V	T	Fall asleep .	She fell ill .	F
49	make	V	F	She may not make the grade .	Make a stir .	F
50	head	N	F	Under the head of minor Roman poets .	They tracked him back toward the head of the stream .	F
51	head	N	T	A reduction in the assessment per head of sheep .	200 head of cattle and 50 head of horses .	T
52	give	V	F	Give a divorce .	The wall gave in .	F
53	drive	V	T	To drive sheep out of a field .	Drive the cows into the barn .	F
54	fall	V	F	Fall by the wayside .	To fall a tree .	F
55	gob	N	T	He ′s always stuffing his gob with fast food .	She 's got such a gob on her – she′s always gossiping about someone or other .	F
56	scale	N	T	The scale of the map .	The scale of the model .	T
57	stand	V	T	We had to stand for the entire performance !	On the pedestal stood a statue .	T
58	make	V	F	She may not make the grade .	He made twenty bucks playing poker last night .	F
59	furniture	N	T	The woman does not even have one stick of furniture moved in yet .	There was only one piece of furniture in the room .	T
60	give	V	F	Give a yelp .	This student gives promise of real creativity .	F
61	cut	V	F	Cut a movie scene .	Cut a Ping-Pong ball .	F
62	extension	N	T	Most BASIC files use the filename extension .BAS .	A text file will have a file extension of .txt .	T
63	seat	N	F	He was elected to a seat in the Senate .	He dusted off the seat before sitting down .	T
64	make	V	F	Make enemies .	What do you make of his remarks ?	F
65	make	V	F	We should make Cincinnati by 7 tonight .	Make the bed .	F
66	take	V	T	Do you take me for a fool ?	Looking at him as he came into the room , I took him for his father .	T
67	tea	N	F	Tea has fragrant white flowers .	Iced tea is a cooling drink .	F
68	take	V	F	Take sick .	I estimate the trip will take about ten minutes .	F
69	way	N	T	Do you know the way to the airport ?	He said he was looking for the way out .	T
70	head	N	F	The head of the compass needle is pointing due north .	200 head of cattle .	F
71	lift	V	T	Lift the box onto the table .	I lifted the books .	T
72	space	N	F	The astronauts walked in outer space without a tether .	The space between his teeth .	F
73	score	N	F	What was your score on your homework ?	The score was 7 to 0 .	F
74	work	V	T	How does your idea work in practice ?	The voting process does n't work as well as people thought .	T
75	double	N	T	He could be Gingrich 's double .	Saddam Hussein was rumored to have many doubles .	T
76	space	N	T	The space between his teeth .	The architect left space in front of the building .	T
77	fix	V	F	Fix breakfast for the guests , please .	That 'll fix him good !	F
78	head	N	F	Matters came to a head yesterday .	The head of the column advanced boldly .	F
79	show	V	F	He bet $ 2 on number six to show .	I showed the customer the glove section .	F
80	take	V	T	I take it you 're not going ?	He was often taken to be a man of means .	F
81	cut	V	F	The employer wants to cut back health benefits .	Cut trenches .	F
82	cot	N	T	A roller cot ( the clothing of a drawing roller in a spinning frame ) .	A cot for a sore finger .	F
83	run	V	F	These dyes and colors are guaranteed not to run .	The sale will run for ten days .	F
84	see	V	F	Now I see !	I want to see whether she speaks French .	T
85	drive	V	F	Drive the cows into the barn .	Their debts finally drove them to sell the business .	F
86	bit	N	F	A bit of lint .	The horse was not accustomed to a bit .	F
87	stir	V	F	Stir the soil .	Stir emotions .	F
88	trombone	N	T	This trombone is very expensive .	Jim plays the trombone very well .	T
89	fall	V	T	To fall a tree .	Night fell .	F
90	trace	V	F	Trace your path .	Trace the outline of a figure in the sand .	T
91	take	V	T	Take a pulse .	A reading was taken of the earth 's tremors .	F
92	carry	V	T	I will carry the secret to my grave .	I carry a lot of life insurance .	F
93	body	N	F	Penny was in the scullery , pressing the body of her new dress .	Heavenly body .	F
94	hold	V	F	I hold with those who say life is sacred .	Hold all calls to the President 's office while he is in a meeting .	F
95	build	V	F	Build a reputation .	Build detergents .	F
96	smooth	V	F	Smooth the way towards peace negotiations .	Smooth the surface of the wood .	F
97	carry	V	F	We carry a very large mortgage .	The troops carried the town after a brief fight .	F
98	war	N	T	The war against crime .	The " war on terror " is a campaign against terrorist crime .	T
99	reply	V	T	Please reply to my letter .	He replied that he was not sure .	T
100	house	N	F	The children were playing house .	She felt she had to get out of the house .	T
101	position	N	T	What position does he play ?	Stop running all over the field and play your position !	T
102	play	V	T	Play sports .	Who 's playing now ?	T
103	circus	N	T	The circus will be in town next week .	He ran away from home to join the circus .	T
104	break	V	F	Break a law .	Her voice broke to a whisper when she started to talk about her children .	F
105	woodenness	N	T	There was a certain woodenness in his replies .	He criticized the woodenness of the acting .	T
106	wreck	N	T	Thanks to that quack I am a human wreck .	The house was a wreck when they bought it .	T
107	catch	V	F	Catch the mood .	Do n't catch your meaning .	F
108	blip	N	T	Renewed jitters in the wake of a blip in retail sales .	The market had one bad blip today .	T
109	vegetate	V	F	The fields vegetate vigorously .	The bacterial growth vegetated along .	F
110	drag	N	F	Peeling potatoes is a drag .	He took a drag on his cigarette and expelled the smoke slowly .	F
111	score	N	F	He tried to blame the victim but his success on that score was doubtful .	Settling a score .	F
112	head	N	F	She gave great head .	They tracked him back toward the head of the stream .	F
113	volume	N	T	Please turn down the volume on the stereo .	The kids played their music at full volume .	T
114	top	N	T	He removed the top of the carton .	He could n't get the top off of the bottle .	F
115	stand	V	T	We had to stand for the entire performance !	There stood on the corner a statue .	T
116	breath	N	F	He took a deep breath and dived into the pool .	I could feel the runner 's breath on my shoulder .	F
117	take	V	T	Take steps .	Take action .	T
118	stuff	N	F	What is all that stuff on your bedroom floor ?	You do n't have the stuff to be a United States Marine .	F
119	raise	V	F	Raise a mutiny .	Raise the roof .	F
120	fire	N	F	We sat around the fire singing songs and telling stories .	Barbecue over an open fire .	T
121	start	V	F	Start a new job .	I start my day with a good breakfast .	T
122	run	V	T	The sale will run for ten days .	The meeting ran late .	F
123	do	V	F	Do nothing .	A ' B ' grade does n't suffice to get me into medical school .	F
124	absence	N	T	He was surprised by the absence of any explanation .	Absence makes the heart grow fonder .	F
125	cut	V	F	Cut a check .	Cut the rope .	F
126	ream	V	F	Ream oranges .	The dentist reamed out the debris in the course of the root canal treatment .	F
127	run	V	F	Do n't run that software unless you have permission . ' .	Run rogue .	F
128	run	V	T	I will run the sample .	Our coach had us running plays for the whole practice .	T
129	keep	V	F	May God keep you .	The student was kept after school .	F
130	work	V	F	Work one 's way through the crowd .	She never worked because she inherited a lot of money .	F
131	draw	V	F	Draw water for a bath .	Draw parallels .	F
132	make	V	F	Clothes make the man .	He made to speak but said nothing in the end .	F
133	admit	V	F	We 'll have to vote on whether or not to admit a new member .	He admitted his guilt .	F
134	take	V	F	You ca n't take credit for this !	We took an apartment on a quiet street .	F
135	make	V	F	Make a mess in one 's office .	She 'll make a fine president .	F
136	stake	V	F	I will stake my good reputation for this .	Stake your goat .	F
137	make	V	T	He did n't make the choir after his voice changed .	You have to spend money to make money !	F
138	order	N	F	The machine is now in working order .	A friend in New Mexico said that the order caused no trouble out there .	T
139	work	V	T	The voting process does n't work as well as people thought .	This method does n't work .	T
140	stuff	N	F	There 's good stuff in that book .	The stuff of heros .	T
141	interception	N	T	He resorted to the interception of his daughter 's letters .	He claimed that the interception of one missile by another would be impossible .	F
142	raise	V	F	Raise a smile .	Raise your ` o ' .	T
143	place	N	F	If you were in my place what would you do ?	He has a special place in my thoughts .	F
144	take	V	F	Take steps .	Shall we take a guide in Rome ?	T
145	head	N	F	They say he gives good head .	The head of the list .	F
146	drug	V	T	You look like someone drug you behind a horse for half a mile .	They drugged the kidnapped tourist .	T
147	place	N	F	He overstepped his place .	He put the lamp back in its place .	F
148	raise	V	F	Raise the question of promotions .	Raise from the dead .	F
149	fall	V	F	Fall by the wayside .	Christmas falls on a Monday this year .	F
150	keep	V	F	Keep my job for me while I give birth .	Keep a diary .	F
151	defense	N	F	In defense he said the other man started it .	The artillery battered down the defenses .	F
152	take	V	T	We take all major credit cards .	Do you take sugar in your coffee ?	T
153	give	V	F	Give homage .	She gave herself to many men .	F
154	check	V	T	Check the brakes .	Check the oil in your car once a month .	T
155	restraint	N	F	The unlawful restraint of trade .	Restraints imposed on imports .	T
156	hold	V	F	He can hold his liquor .	To carry well , i.e. to hold the head high , with arching neck .	F
157	visit	V	F	Did you ever visit Paris ?	The principal visited his rage on the students .	F
158	line	N	F	A nice line of shoes .	They were arrayed in line of battle .	F
159	make	V	F	What do you make of his remarks ?	Make a mistake .	F
160	break	V	T	Can you break a hundred-dollar bill for me ?	The wholesaler broke the container loads into palettes and boxes for local retailers .	T
161	point	N	F	Life has lost its point .	He broke the point of his pencil .	F
162	product	N	T	That store offers a variety of products .	That store offers a variety of products .	T
163	cover	V	F	The grant does n't cover my salary .	The President covered the fact that he bugged the offices in the White House .	F
164	run	V	F	Run a subject .	I 'm not ready to run a marathon .	F
165	accept	V	F	I can not accept your invitation .	We accept the idea of universal health care .	F
166	action	N	T	The piano had a very stiff action .	A rifle action .	F
167	contact	N	F	Contact with the pier scraped paint from the hull .	The pilot made contact with the base .	F
168	carry	V	F	Put down 5 and carry 2 .	I am carrying his child .	F
169	cut	V	F	Would you please cut the cake ?	Cut a hole .	T
170	gather	V	T	Gather some stones .	Herman gathered the students together .	F
171	admit	V	T	To admit a serious thought into the mind .	This pipe admits air .	F
172	side	N	F	It brought out his better side .	The Confederate side was prepared to attack .	F
173	draw	V	F	Draw a weapon .	A ship draws ten feet of water .	F
174	wall	N	F	A wall of prejudice .	The container 's walls were blue .	F
175	carry	V	T	The airwaves carry the sound .	Sound carries well over water .	T
176	carry	V	F	These bonds carry warrants .	The dog was taught to fetch and carry .	F
177	turn	V	F	Turn the corner .	We turned from Socialism to Capitalism .	F
178	carry	V	F	The dog was taught to fetch and carry .	Carry a cause .	F
179	radiate	V	F	Spokes radiate from the hub of the wheel .	The heat radiates from a stove .	T
180	choke	V	F	Choke a carburetor .	The pirate choked the sailor to death .	F
181	church	N	T	There is a lovely little church in the valley .	The church was empty .	T
182	take	V	T	Do you take me for a fool ?	I take it you 're not going ?	T
183	connect	V	F	Operator , could you connect me to the Raffles in Singapore ?	These computers connected well .	T
184	give	V	F	The French doors give onto a terrace .	The wall gave in .	F
185	return	N	F	His gross income was enough that he had to file a tax return .	On his return from Australia we gave him a welcoming party .	F
186	action	N	F	He is out of action .	The piano had a very stiff action .	F
187	head	N	F	Tickets are $ 5 per head .	We will consider performance issues under the head of future improvements .	F
188	hand	N	F	On the one hand ... , but on the other hand ...	All hands on deck .	F
189	spring	N	T	The emerging buds were a sure sign of spring .	You can visit me in the spring , when the weather is bearable .	T
190	describe	V	T	The feeling is difficult to describe , but not unpleasant .	He described what we should do .	F
191	know	V	T	Do you know my sister ?	I know him under a different name .	F
192	turn	V	F	Turn your face to the wall .	The people turned against the President when he stole the election .	F
193	world	N	F	He sailed around the world .	All the world loves a lover .	F
194	ride	V	F	I ride to work in a bus .	She rode a wave of popularity .	F
