	id	w	p	l	c1	c2	pred
3	3	recreation	N	T	For recreation he wrote poetry and solved crossword puzzles .	Drug abuse is often regarded as a form of recreation .	F
59	59	corner	N	T	He tripled to the rightfield corner .	The southeastern corner of the Mediterranean .	F
61	61	replicate	V	T	On entering a host cell , a virus will start to replicate .	Replicate the cell .	F
262	262	arousal	N	T	To influence the arousal of brain and behavior .	The purpose of art is the arousal of emotions .	F
308	308	plume	N	T	A plume of smoke .	Grass with large plumes .	F
415	415	hitter	N	T	A hard hitter .	Blacksmiths are good hitters .	F
426	426	holiday	N	T	Today is a Wiccan holiday !	No mail is delivered on federal holidays .	F
476	476	group	N	T	There is a group of houses behind the hill .	A group of people gathered in front of the Parliament to demonstrate against the Prime Minister 's proposals .	F
495	495	step	N	T	Always a step behind .	Keep in step with the fashions .	F
504	504	middle	N	T	I woke up in the middle of the night .	A whole is that which has beginning , middle , and end - Aristotle .	F
525	525	path	N	T	The path of virtue .	Our paths in life led us apart .	F
534	534	brother	N	T	I would like to thank the brother who just spoke .	None of his brothers would betray him .	F
562	562	expect	V	T	I expect to receive wages .	We were expecting a visit from our relatives .	F
