	id	w	p	l	c1	c2	pred
2	2	hook	V	T	Hook a fish .	He hooked a snake accidentally , and was so scared he dropped his rod into the water .	T
8	8	mark	N	T	He left an indelible mark on the American theater .	It was in London that he made his mark .	T
11	11	glaze	V	T	Glaze the bread with eggwhite .	The potter glazed the dishes .	T
19	19	lecture	V	T	Did you ever lecture at Harvard ?	She lectured to the class about her travels .	T
20	20	rehearsal	N	T	A rehearsal will be held the day before the wedding .	He missed too many rehearsals .	T
21	21	forge	V	T	We decided to forge ahead with our plans even though our biggest underwriter backed out .	He forged ahead .	T
22	22	falsity	N	T	The belief that the world is flat is a falsity .	Argument could not determine its truth or falsity .	T
26	26	risk	V	T	I can not risk smoking .	Why risk your life ?	T
27	27	chemistry	N	T	The chemistry of indigo .	The chemistry of iron .	T
30	30	excuse	N	T	That thing is a poor excuse for a gingerbread man . Has n't anyone taught you how to bake ?	He 's a sorry excuse of a doctor .	T
31	31	bondage	N	T	He sought release from his bondage to Satan .	A self freed from the bondage of time .	T
35	35	daughter	N	T	I already have a son , so I would like to have a daughter .	Her daughter cared for her in her old age .	T
36	36	hold	V	T	Please hold a table at Maxim 's .	Hold a table for us at 7:00 .	T
37	37	banish	V	T	Banish bad thoughts .	Banish gloom .	T
38	38	sense	N	T	A keen musical sense .	A good sense of timing .	T
40	40	deed	N	T	He signed the deed .	I inherited the deed to the house .	T
52	52	cushion	V	T	To cushion a blow .	Cushion the blow .	T
55	55	recrudescence	N	T	A recrudescence of racism .	A recrudescence of the symptoms .	T
56	56	metadata	N	T	Most websites contain metadata to tell the computer how to lay the words out on the screen .	A library catalog is metadata because it describes publications .	T
58	58	elapse	V	T	He allowed a month to elapse before beginning the work .	Several days elapsed before they met again .	T
64	64	straggle	N	T	A straggle of followers .	A straggle of outbuildings .	T
65	65	torture	N	T	In every war there are acts of torture that cause the world to shudder .	Using large dogs to attack bound , hand - cuffed prisoners is clearly torture .	T
69	69	sugar	V	T	Sugar your tea .	John heavily sugars his coffee .	T
70	70	load	V	T	Load a car .	Load the truck with hay .	T
74	74	modify	V	T	Please modify this letter to make it more polite .	He modified his views on same - gender marriage .	T
75	75	loose	V	T	Let loose mines .	Loose terrible plagues upon humanity .	T
77	77	invasion	N	T	An invasion of locusts .	An invasion of tourists .	T
79	79	chore	N	T	Washing dishes is a chore , but we can not just stop eating .	The farmer 's morning chores .	T
83	83	push	V	T	You need to push quite hard to get this door open .	Nora pushed through the crowd .	T
85	85	share	V	T	Our children share a love of music .	The two countries share a long border .	T
94	94	bridge	N	T	Her glasses left marks on the bridge of her nose .	Rugby players often break the bridge of their noses .	T
95	95	adoxography	N	T	Elizabethan schoolboys were taught adoxography , the art of eruditely praising worthless things .	Adoxography is particularly useful to lawyers .	T
96	96	dexterity	N	T	She twirled the knife through her fingers with impressive dexterity .	Playing computer games can improve your manual dexterity .	T
102	102	applaud	V	T	I applaud your efforts .	Although we do n't like your methods , we applaud your motives .	T
114	114	amuse	V	T	I watch these movies because they amuse me .	The clown amused the children .	T
116	116	circumference	N	T	A danger to all races over the whole circumference of the globe .	He had walked the full circumference of his land .	T
117	117	tap	V	T	Tap a keg of beer .	Tap a maple tree for its syrup .	T
118	118	branch	N	T	We opened a new branch in London .	Our main branch is downtown .	T
119	119	peradventure	N	T	This proves beyond peradventure that he is innocent .	Proved beyond peradventure . — South .	T
120	120	finish	N	T	My horse was several lengths behind at the finish .	The winner is the team with the most points at the finish .	T
122	122	month	N	T	He was given a month to pay the bill .	We went on holiday for two months .	T
123	123	contradistinction	N	T	Sculpture in contradistinction to painting .	We used hamburgers and soda in contradistinction to healthy food .	T
127	127	exhibition	N	T	There was an art exhibition on in the town hall .	A boat exhibition .	T
129	129	maneuver	N	T	He made a great maneuver .	Parallel parking can be a difficult maneuver .	T
132	132	knuckleball	N	T	Even the pitcher does n't know where his knuckleball is going .	Boston Red Sox pitcher Tim Wakefield is best known for his use of the knuckleball .	T
136	136	shock	V	T	To shock rye .	Shock grain .	T
137	137	tipper	N	T	A generous tipper .	The Americans are among the most generous tippers in the world .	T
139	139	button	N	T	"The politician wore a bright yellow button with the slogan "" Vote Smart "" emblazoned on it ."	They passed out campaign buttons for their candidate .	T
141	141	boot	V	T	Boot your computer .	When arriving at the office , first thing I do is booting my machine .	T
145	145	literature	N	T	One aspect of Waterloo has not yet been treated in the literature .	The technical literature .	T
150	150	date	V	T	Scientists often can not date precisely archeological or prehistorical findings .	To date the building of the pyramids .	T
153	153	spade	N	T	She led a low spade .	Spades were trumps .	T
154	154	cocoon	V	T	She loves to stay at home and cocoon .	Families cocoon around the T.V. set most evenings .	T
156	156	winterize	V	T	Winterize cars .	Winterize your houses .	T
161	161	conceive	V	T	She can not conceive .	Assisted procreation can help those trying to conceive .	T
163	163	percolate	V	T	Percolate coffee .	I 'll percolate some coffee .	T
167	167	fight	N	T	A fight broke out at the hockey game .	There were fights in the streets .	T
168	168	breed	N	T	He experimented on a particular breed of white rats .	A breed of animal .	T
169	169	mainstream	N	T	His thinking was in the American mainstream .	His ideas were well outside the mainstream , but he presented them intelligently , and we were impressed if not convinced .	T
171	171	cognate	N	T	English is a cognate of Greek , German , Russian and Persian .	English and , Russian , Icelandic and Irish are all cognates .	T
172	172	convey	V	T	To convey information .	She conveyed the message to me .	T
174	174	protest	N	T	The senator rose to register his protest .	They finished the game under protest to the league president .	T
175	175	operation	N	T	The plane 's operation in high winds .	The power of its engine determines its operation .	T
179	179	delta	N	T	The Nile delta .	The Mississippi River delta .	T
180	180	sign	V	T	Please sign on the dotted line .	Please sign here .	T
185	185	cup	N	T	He put the cup back in the saucer .	The handle of the cup was missing .	T
190	190	stream	N	T	He felt a stream of air .	The hose ejected a stream of water .	T
192	192	obstacle	N	T	Lack of imagination is an obstacle to one 's advancement .	The poverty of a district is an obstacle to good education .	T
194	194	draw	N	T	The luck of the draw .	They anticipated a tough draw .	T
197	197	shuffle	V	T	You shuffle , I 'll deal .	Shuffle the cards .	T
200	200	abridge	V	T	The new law might abridge our freedom of expression .	He had his rights abridged by the crooked sheriff .	T
203	203	review	V	T	Let 's review your situation .	Before I tackle the question directly , I must briefly review historical approaches to the problem .	T
207	207	liberty	N	T	At liberty to choose whatever occupation one wishes .	Liberty to think or feel or do just as one pleases .	T
208	208	answer	V	T	Answer the question .	She did n't want to answer .	T
209	209	carve	V	T	Carve one 's name into the bark .	That chisel carved the statue .	T
211	211	donate	V	T	Donate money to the orphanage .	I donated blood to the Red Cross for the victims of the earthquake .	T
214	214	keep	V	T	Can I keep my old stuffed animals ?	She kept her maiden name after she married .	T
216	216	shot	N	T	He trained at putting the shot .	The shot flew twenty metres , and nearly landed on the judge 's foot .	T
220	220	minister	N	T	The minister said a prayer on behalf of the entire congregation .	Clergymen are usually called ministers in Protestant churches .	T
222	222	abatement	N	T	The abatement of a nuisance is the suppression thereof .	Laws enforcing noise abatement .	T
224	224	chew	V	T	The steak was tough to chew as it had been cooked too long .	Chew your food and do n't swallow it !	T
225	225	conclusion	N	T	The conclusion of the peace treaty .	The conclusion of a business deal .	T
