	id	w	p	l	c1	c2	pred
43	43	return	V	T	Return her love .	Return a compliment .	F
57	57	streak	N	T	A streak of wildness .	He has a stubborn streak .	F
89	89	love	V	T	I love French food .	I loved to write .	F
166	166	pull	N	T	A zipper pull .	He grabbed the pull and opened the drawer .	F
199	199	vary	V	T	Prices vary .	His moods vary depending on the weather .	F
213	213	hew	V	T	Hew out a path in the rock .	One of the most widely used typefaces in the world was hewn by the English printer and typographer John Baskerville .	F
247	247	send	V	T	Send me your latest results .	Nora sent the book from Paris .	F
252	252	occurrence	N	T	A disease of frequent occurrence .	The occurrence ( or presence ) of life on other planets .	F
256	256	stop	V	T	Stop a car .	Stop the thief .	F
299	299	configure	V	T	Configure a plane for a combat mission .	Configure my new computer .	F
339	339	trip	V	T	A pedestrian was able to trip the burglar as he was running away .	The questions on the test tripped him up .	F
370	370	pay	N	T	He wasted his pay on drink .	Many employers have rules designed to keep employees from comparing their pays .	F
371	371	collapse	N	T	The collapse of the old star under its own gravity .	The roof is in danger of collapse .	F
395	395	gargle	V	T	Gargle with this liquid .	Every morning he gargled a little cheap Scotch .	F
423	423	escalation	N	T	Higher wages caused an escalation of prices .	There was a gradual escalation of hostilities .	F
432	432	education	N	T	A girl 's education was less important than a boy 's .	Education is a preparation for life .	F
438	438	house	N	T	He counted the house .	The house applauded .	F
507	507	socialization	N	T	Force socialization rarely creates strong friendships , but there are exceptions .	There was too much socialization with the enlisted men .	F
516	516	border	N	T	The rug had a wide blue border .	The borders of the garden .	F
529	529	dimple	N	T	The accident created a dimple in the hood of the car .	There are approximately 336 dimples on a golf ball .	F
537	537	show	N	T	A show of impatience .	A good show of looking interested .	F
557	557	fatigue	N	T	Growing fatigue was apparent from the decline in the execution of their athletic skills .	He was hospitalized for extreme fatigue .	F
559	559	handle	V	T	Do n't handle the merchandise .	About his altar , handling holy things - John Milton .	F
614	614	wish	N	T	It was his last wish .	They should respect the wishes of the people .	F
626	626	reverence	N	T	The French treat food with gentle reverence .	The Chinese reverence for the dead .	F
