	id	w	p	l	c1	c2	pred
3	3	recreation	N	T	For recreation he wrote poetry and solved crossword puzzles .	Drug abuse is often regarded as a form of recreation .	F
18	18	analyze	V	T	Analyze your real motives .	The inspector analyzed the building 's soundness .	F
39	39	opinion	N	T	In my opinion , white chocolate is better than milk chocolate .	I would like to know your opinions on the new systems .	F
41	41	question	N	T	His claim to the property has come under question .	He obeyed without question .	F
43	43	return	V	T	Return her love .	Return a compliment .	F
51	51	studio	N	T	His studio was cramped when he began as an artist .	You do n't need a studio to make a passport photograph .	F
57	57	streak	N	T	A streak of wildness .	He has a stubborn streak .	F
61	61	replicate	V	T	On entering a host cell , a virus will start to replicate .	Replicate the cell .	F
89	89	love	V	T	I love French food .	I loved to write .	F
109	109	nowhere	N	T	He came out of nowhere .	They went on a cruise to nowhere .	F
112	112	intention	N	T	The intention of this legislation is to boost the economy .	Good intentions are not enough .	F
199	199	vary	V	T	Prices vary .	His moods vary depending on the weather .	F
202	202	revenge	N	T	Indifference is the sweetest revenge .	When I left my wife , she tried to set fire to the house in revenge .	F
213	213	hew	V	T	Hew out a path in the rock .	One of the most widely used typefaces in the world was hewn by the English printer and typographer John Baskerville .	F
230	230	accumulate	V	T	He wishes to accumulate a sum of money .	Journals are accumulating in my office .	F
247	247	send	V	T	Send me your latest results .	Nora sent the book from Paris .	F
252	252	occurrence	N	T	A disease of frequent occurrence .	The occurrence ( or presence ) of life on other planets .	F
262	262	arousal	N	T	To influence the arousal of brain and behavior .	The purpose of art is the arousal of emotions .	F
299	299	configure	V	T	Configure a plane for a combat mission .	Configure my new computer .	F
308	308	plume	N	T	A plume of smoke .	Grass with large plumes .	F
338	338	liberate	V	T	To liberate the mind from prejudice .	To liberate gases .	F
339	339	trip	V	T	A pedestrian was able to trip the burglar as he was running away .	The questions on the test tripped him up .	F
371	371	collapse	N	T	The collapse of the old star under its own gravity .	The roof is in danger of collapse .	F
423	423	escalation	N	T	Higher wages caused an escalation of prices .	There was a gradual escalation of hostilities .	F
426	426	holiday	N	T	Today is a Wiccan holiday !	No mail is delivered on federal holidays .	F
432	432	education	N	T	A girl 's education was less important than a boy 's .	Education is a preparation for life .	F
438	438	house	N	T	He counted the house .	The house applauded .	F
460	460	word	N	T	We had a word or two about it .	"There was then a long discussion of whether to capitalize words like "" east "" ."	F
476	476	group	N	T	There is a group of houses behind the hill .	A group of people gathered in front of the Parliament to demonstrate against the Prime Minister 's proposals .	F
504	504	middle	N	T	I woke up in the middle of the night .	A whole is that which has beginning , middle , and end - Aristotle .	F
507	507	socialization	N	T	Force socialization rarely creates strong friendships , but there are exceptions .	There was too much socialization with the enlisted men .	F
515	515	segregate	V	T	Experiments show clearly that genes segregate .	Many towns segregated into new counties .	F
516	516	border	N	T	The rug had a wide blue border .	The borders of the garden .	F
525	525	path	N	T	The path of virtue .	Our paths in life led us apart .	F
534	534	brother	N	T	I would like to thank the brother who just spoke .	None of his brothers would betray him .	F
537	537	show	N	T	A show of impatience .	A good show of looking interested .	F
557	557	fatigue	N	T	Growing fatigue was apparent from the decline in the execution of their athletic skills .	He was hospitalized for extreme fatigue .	F
559	559	handle	V	T	Do n't handle the merchandise .	About his altar , handling holy things - John Milton .	F
614	614	wish	N	T	It was his last wish .	They should respect the wishes of the people .	F
622	622	system	N	T	That language has a complex system for indicating gender .	They have to operate under a system they oppose .	F
